ï»¿projected_population_based_on_2020_cph_by_five-year_age_group_and_by_sex_and_single-year_interval,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12
nan,nan,,,,,,,,,,,
nan,nan,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
Both Sexes,All Ages,109203.0,110082.0,110940.0,111912.0,112885.0,113863.0,114849.0,115846.0,116850.0,117860.0,118874.0
nan,0-4,11087.0,10529.0,9938.0,9388.0,8894.0,8487.0,8518.0,8613.0,8706.0,8802.0,8901.0
nan,5-9,11288.0,11283.0,11269.0,11237.0,11166.0,11026.0,10470.0,9881.0,9334.0,8843.0,8437.0
nan,10-14,11109.0,11174.0,11215.0,11235.0,11242.0,11242.0,11237.0,11224.0,11192.0,11122.0,10983.0
nan,15-19,10499.0,10603.0,10722.0,10845.0,10957.0,11048.0,11113.0,11154.0,11175.0,11182.0,11183.0
nan,20-24,10040.0,10130.0,10202.0,10267.0,10337.0,10422.0,10526.0,10645.0,10767.0,10880.0,10971.0
nan,25-29,9244.0,9410.0,9566.0,9709.0,9836.0,9946.0,10037.0,10110.0,10175.0,10245.0,10331.0
nan,30-34,8184.0,8372.0,8565.0,8760.0,8949.0,9128.0,9295.0,9452.0,9595.0,9722.0,9833.0
nan,35-39,7233.0,7371.0,7525.0,7693.0,7871.0,8054.0,8242.0,8436.0,8631.0,8819.0,8998.0
nan,40-44,6539.0,6657.0,6761.0,6859.0,6964.0,7087.0,7227.0,7382.0,7550.0,7727.0,7910.0
nan,45-49,5607.0,5737.0,5889.0,6056.0,6217.0,6360.0,6482.0,6588.0,6687.0,6793.0,6915.0
nan,50-54,4972.0,5051.0,5120.0,5193.0,5278.0,5386.0,5520.0,5674.0,5839.0,5998.0,6140.0
nan,55-59,4144.0,4242.0,4353.0,4475.0,4589.0,4691.0,4778.0,4852.0,4926.0,5011.0,5118.0
nan,60-64,3381.0,3469.0,3548.0,3632.0,3717.0,3812.0,3918.0,4033.0,4150.0,4261.0,4361.0
nan,65-69,2402.0,2507.0,2623.0,2753.0,2876.0,2987.0,3084.0,3168.0,3247.0,3329.0,3420.0
nan,70-74,1581.0,1642.0,1711.0,1798.0,1890.0,1990.0,2097.0,2211.0,2326.0,2435.0,2534.0
nan,75-79,934.0,964.0,1005.0,1065.0,1127.0,1191.0,1257.0,1325.0,1396.0,1473.0,1556.0
nan,80-84,571.0,546.0,536.0,548.0,569.0,597.0,631.0,671.0,715.0,760.0,808.0
nan,85+,389.0,395.0,391.0,400.0,406.0,410.0,416.0,426.0,440.0,456.0,476.0
Male,All Ages,55393.0,55819.0,56239.0,56720.0,57202.0,57685.0,58171.0,58662.0,59155.0,59652.0,60150.0
nan,0-4,5723.0,5436.0,5135.0,4857.0,4606.0,4392.0,4409.0,4458.0,4506.0,4557.0,4608.0
nan,5-9,5851.0,5846.0,5831.0,5805.0,5761.0,5691.0,5405.0,5105.0,4828.0,4579.0,4365.0
nan,10-14,5731.0,5773.0,5801.0,5818.0,5825.0,5826.0,5821.0,5807.0,5780.0,5737.0,5667.0
nan,15-19,5369.0,5429.0,5499.0,5572.0,5640.0,5696.0,5738.0,5766.0,5783.0,5791.0,5792.0
nan,20-24,5123.0,5168.0,5205.0,5238.0,5276.0,5324.0,5384.0,5454.0,5526.0,5594.0,5650.0
nan,25-29,4722.0,4802.0,4878.0,4950.0,5015.0,5071.0,5117.0,5154.0,5187.0,5226.0,5274.0
nan,30-34,4225.0,4315.0,4404.0,4492.0,4577.0,4660.0,4740.0,4817.0,4889.0,4954.0,5011.0
nan,35-39,3719.0,3792.0,3875.0,3966.0,4059.0,4152.0,4242.0,4332.0,4419.0,4505.0,4588.0
nan,40-44,3364.0,3421.0,3470.0,3517.0,3569.0,3631.0,3706.0,3790.0,3880.0,3973.0,4065.0
nan,45-49,2871.0,2938.0,3016.0,3100.0,3181.0,3252.0,3312.0,3363.0,3410.0,3462.0,3525.0
nan,50-54,2510.0,2550.0,2587.0,2628.0,2674.0,2731.0,2801.0,2880.0,2963.0,3043.0,3114.0
nan,55-59,2063.0,2111.0,2165.0,2224.0,2281.0,2333.0,2378.0,2418.0,2458.0,2505.0,2561.0
nan,60-64,1636.0,1679.0,1719.0,1763.0,1807.0,1855.0,1907.0,1963.0,2020.0,2075.0,2124.0
nan,65-69,1116.0,1164.0,1219.0,1281.0,1340.0,1394.0,1442.0,1485.0,1525.0,1567.0,1612.0
nan,70-74,685.0,711.0,741.0,783.0,826.0,873.0,923.0,975.0,1028.0,1079.0,1125.0
nan,75-79,367.0,378.0,394.0,419.0,446.0,474.0,502.0,532.0,564.0,598.0,634.0
nan,80-84,199.0,186.0,181.0,187.0,196.0,207.0,221.0,236.0,253.0,271.0,289.0
nan,85+,119.0,120.0,118.0,121.0,122.0,123.0,125.0,128.0,133.0,138.0,145.0
Female,All Ages,53810.0,54263.0,54701.0,55192.0,55683.0,56178.0,56678.0,57184.0,57694.0,58208.0,58724.0
nan,0-4,5363.0,5092.0,4803.0,4531.0,4288.0,4095.0,4110.0,4155.0,4200.0,4246.0,4293.0
nan,5-9,5437.0,5437.0,5438.0,5432.0,5406.0,5335.0,5065.0,4776.0,4506.0,4264.0,4072.0
nan,10-14,5378.0,5401.0,5414.0,5417.0,5417.0,5416.0,5417.0,5417.0,5411.0,5385.0,5315.0
nan,15-19,5130.0,5174.0,5223.0,5273.0,5317.0,5352.0,5376.0,5388.0,5392.0,5391.0,5391.0
nan,20-24,4917.0,4962.0,4998.0,5029.0,5061.0,5098.0,5142.0,5191.0,5241.0,5286.0,5321.0
nan,25-29,4521.0,4608.0,4687.0,4758.0,4821.0,4875.0,4920.0,4956.0,4988.0,5020.0,5057.0
nan,30-34,3959.0,4057.0,4161.0,4268.0,4372.0,4468.0,4555.0,4635.0,4705.0,4768.0,4822.0
nan,35-39,3514.0,3579.0,3650.0,3727.0,3811.0,3902.0,4000.0,4105.0,4211.0,4315.0,4411.0
nan,40-44,3175.0,3236.0,3290.0,3342.0,3396.0,3455.0,3522.0,3593.0,3670.0,3754.0,3844.0
