"TABLE 15.18  Number of Clustered Precints, Registered Voters, Voters Who Actually Voted and Voters' Turnout by Region: 2013, 2016, 2019, and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
                     (National and local elections),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Number of Clustered Precincts,,,,,Number of Registered Voters,,,,Number of Voters Who Actually Voted,,,,Voters' Turn-Out (%),,,,,,,,,,,,
,2013,,2016,2019,2022,2013,2016,2019,2022,2013,2016,2019,2022,2013,2016,2019,2022,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,"77,827",r,"92,509","85,769","106,439","52,014,648","54,363,844","61,843,771","65,831,806","40,214,324","44,549,848","46,937,139","55,357,093",77.31,81.95,75.90,84.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR,"7,509",,"9,271","8,298","10,538","5,995,904","6,253,249","7,074,603","7,322,361","4,220,571","4,916,589","4,915,075","5,962,693",70.39,78.62,69.47,81.43,,,,,,,,,
CAR,"1,828",,"1,983","1,861","2,153","924,751","906,162","1,013,418","1,077,900","718,902","755,772","795,792","921,227",77.74,83.40,78.53,85.46,,,,,,,,,
I-Ilocos Region,"4,623",,"5,376","4,996","6,127","2,865,115","2,950,775","3,331,404","3,546,764","2,364,308","2,525,358","2,696,074","3,104,841",82.52,85.58,80.93,87.54,,,,,,,,,
II-Cagayan Valley,"3,114",,"3,594","3,384","4,054","1,871,822","1,920,952","2,194,418","2,312,797","1,475,903","1,594,813","1,695,403","1,951,482",78.85,83.02,77.26,84.38,,,,,,,,,
III-Central Luzon,"7,903",,"9,511","8,654","10,993","5,822,678","6,056,392","6,829,661","7,289,791","4,544,930","4,989,374","5,265,335","6,304,414",78.06,82.38,77.10,86.48,,,,,,,,,
IV-A-CALABARZON,"9,858",,"12,074","11,097","13,965","7,205,067","7,619,272","8,674,351","9,193,096","5,197,200","5,928,566","6,180,510","7,635,624",72.13,77.81,71.25,83.06,,,,,,,,,
